Riyadh;24.7136;46.6753;41.09;C;21.65;p;1022.93;mb;27.50;m;01/01/2018
Jeddah;21.2854;39.2376;30.43;C;33.59;p;1246.85;mb;23.70;m;01/01/2018
Makkah;21.3891;39.8579;36.13;C;23.61;p;1136.79;mb;25.64;m;01/01/2018
Madinah;24.5247;39.5692;43.93;C;12.81;p;1029.37;mb;26.71;m;01/01/2018
Abha;18.2465;42.5117;29.95;C;24.38;p;1041.85;mb;28.61;m;01/01/2018
Qassim;25.8275;42.8638;41.41;C;15.21;p;1020.68;mb;29.45;m;01/01/2018
Riyadh;24.7136;46.6753;44.00;C;21.09;p;1033.21;mb;28.48;m;02/01/2018
Jeddah;21.2854;39.2376;36.07;C;31.80;p;1239.86;mb;20.31;m;02/01/2018
Makkah;21.3891;39.8579;34.51;C;21.92;p;1142.00;mb;24.43;m;02/01/2018
Madinah;24.5247;39.5692;40.26;C;14.20;p;1021.78;mb;27.18;m;02/01/2018
Abha;18.2465;42.5117;27.11;C;23.23;p;1073.50;mb;24.12;m;02/01/2018
Qassim;25.8275;42.8638;38.64;C;17.33;p;1042.75;mb;20.38;m;02/01/2018
Riyadh;24.7136;46.6753;44.01;C;19.19;p;1038.60;mb;25.58;m;03/01/2018
Jeddah;21.2854;39.2376;32.75;C;32.32;p;1216.30;mb;27.48;m;03/01/2018
Makkah;21.3891;39.8579;32.43;C;22.01;p;1132.72;mb;25.67;m;03/01/2018
Madinah;24.5247;39.5692;35.87;C;12.87;p;1044.40;mb;22.54;m;03/01/2018
Abha;18.2465;42.5117;29.41;C;23.03;p;1048.76;mb;23.75;m;03/01/2018
Qassim;25.8275;42.8638;44.50;C;17.38;p;1031.91;mb;24.56;m;03/01/2018
Riyadh;24.7136;46.6753;49.85;C;17.12;p;1033.18;mb;21.73;m;04/01/2018
Jeddah;21.2854;39.2376;30.62;C;31.58;p;1214.71;mb;22.52;m;04/01/2018
Makkah;21.3891;39.8579;33.72;C;22.09;p;1126.88;mb;24.14;m;04/01/2018
Madinah;24.5247;39.5692;40.96;C;13.30;p;1024.30;mb;26.94;m;04/01/2018
Abha;18.2465;42.5117;25.45;C;22.31;p;1064.86;mb;24.26;m;04/01/2018
Qassim;25.8275;42.8638;37.41;C;15.86;p;1034.23;mb;20.33;m;04/01/2018
Riyadh;24.7136;46.6753;49.41;C;17.57;p;1031.37;mb;25.07;m;05/01/2018
Jeddah;21.2854;39.2376;39.83;C;33.17;p;1226.24;mb;21.37;m;05/01/2018
Makkah;21.3891;39.8579;35.37;C;22.82;p;1149.62;mb;26.05;m;05/01/2018
Madinah;24.5247;39.5692;35.39;C;12.22;p;1036.39;mb;20.29;m;05/01/2018
Abha;18.2465;42.5117;24.01;C;21.53;p;1067.61;mb;29.53;m;05/01/2018
Qassim;25.8275;42.8638;35.78;C;18.04;p;1064.16;mb;25.17;m;05/01/2018
Riyadh;24.7136;46.6753;44.31;C;17.59;p;1024.22;mb;22.71;m;06/01/2018
Jeddah;21.2854;39.2376;31.17;C;32.93;p;1219.71;mb;21.83;m;06/01/2018
Makkah;21.3891;39.8579;33.81;C;20.14;p;1112.22;mb;23.92;m;06/01/2018
Madinah;24.5247;39.5692;42.61;C;14.69;p;1007.31;mb;21.81;m;06/01/2018
Abha;18.2465;42.5117;29.70;C;22.69;p;1087.11;mb;24.34;m;06/01/2018
Qassim;25.8275;42.8638;41.49;C;17.14;p;1065.12;mb;26.17;m;06/01/2018
Riyadh;24.7136;46.6753;49.68;C;20.39;p;1043.66;mb;28.78;m;07/01/2018
Jeddah;21.2854;39.2376;32.80;C;34.09;p;1224.38;mb;24.82;m;07/01/2018
Makkah;21.3891;39.8579;31.47;C;23.43;p;1114.01;mb;21.62;m;07/01/2018
Madinah;24.5247;39.5692;40.88;C;14.73;p;1023.19;mb;23.74;m;07/01/2018
Abha;18.2465;42.5117;26.07;C;21.77;p;1074.06;mb;26.60;m;07/01/2018
Qassim;25.8275;42.8638;44.38;C;17.86;p;1032.76;mb;25.09;m;07/01/2018
Riyadh;24.7136;46.6753;41.48;C;18.79;p;1017.26;mb;21.56;m;08/01/2018
Jeddah;21.2854;39.2376;34.08;C;34.61;p;1246.58;mb;27.49;m;08/01/2018
Makkah;21.3891;39.8579;33.09;C;20.49;p;1137.34;mb;21.74;m;08/01/2018
Madinah;24.5247;39.5692;40.27;C;16.45;p;1005.24;mb;26.40;m;08/01/2018
Abha;18.2465;42.5117;23.51;C;24.45;p;1044.05;mb;27.85;m;08/01/2018
Qassim;25.8275;42.8638;43.44;C;19.79;p;1052.34;mb;27.00;m;08/01/2018
Riyadh;24.7136;46.6753;45.77;C;19.54;p;1008.69;mb;27.42;m;09/01/2018
Jeddah;21.2854;39.2376;39.90;C;30.29;p;1209.31;mb;24.35;m;09/01/2018
Makkah;21.3891;39.8579;34.00;C;22.14;p;1118.29;mb;20.71;m;09/01/2018
Madinah;24.5247;39.5692;36.12;C;12.83;p;1029.41;mb;28.40;m;09/01/2018
Abha;18.2465;42.5117;31.40;C;21.38;p;1050.26;mb;24.69;m;09/01/2018
Qassim;25.8275;42.8638;43.32;C;16.64;p;1063.99;mb;23.52;m;09/01/2018
Riyadh;24.7136;46.6753;47.36;C;18.67;p;1001.41;mb;21.30;m;10/01/2018
Jeddah;21.2854;39.2376;31.26;C;33.14;p;1216.05;mb;25.10;m;10/01/2018
Makkah;21.3891;39.8579;35.05;C;20.48;p;1138.17;mb;28.59;m;10/01/2018
Madinah;24.5247;39.5692;42.62;C;15.47;p;1029.21;mb;28.03;m;10/01/2018
Abha;18.2465;42.5117;26.86;C;21.16;p;1066.85;mb;25.83;m;10/01/2018
Qassim;25.8275;42.8638;36.97;C;18.63;p;1032.34;mb;24.39;m;10/01/2018
